date,line,type
19-Oct-20,1,Early closure
20-Oct-20,1,Early closure
21-Oct-20,1,Early closure
22-Oct-20,1,Early closure
23-Oct-20,1,Weekend
24-Oct-20,1,Weekend
25-Oct-20,1,Weekend
25-Oct-20,2,One day
26-Oct-20,1,Early closure
27-Oct-20,1,Early closure
28-Oct-20,1,Early closure
29-Oct-20,1,Early closure
01-Nov-20,1,One day
02-Nov-20,1,Early closure
03-Nov-20,1,Early closure
04-Nov-20,1,Early closure
05-Nov-20,1,Early closure
07-Nov-20,1,Weekend
08-Nov-20,1,Weekend
09-Nov-20,1,Early closure
10-Nov-20,1,Early closure
11-Nov-20,1,Early closure
12-Nov-20,1,Early closure
13-Nov-20,1,Early closure
14-Nov-20,1,Weekend
15-Nov-20,1,Weekend
16-Nov-20,1,Early closure
17-Nov-20,1,Early closure
18-Nov-20,1,Early closure
19-Nov-20,1,Early closure
20-Nov-20,1,Early closure
21-Nov-20,1,Weekend
22-Nov-20,1,Weekend
23-Nov-20,1,Early closure
24-Nov-20,1,Early closure
25-Nov-20,1,Early closure
26-Nov-20,1,Early closure
28-Nov-20,1,Weekend
29-Nov-20,1,Weekend
04-Dec-20,1,Other
05-Dec-20,1,Other
06-Dec-20,1,Other
07-Dec-20,1,Other
08-Dec-20,1,Other
09-Dec-20,1,Other
10-Dec-20,1,Other
11-Dec-20,1,Other
12-Dec-20,1,Other
13-Dec-20,1,Other
14-Dec-20,2,Early closure
15-Dec-20,2,Early closure
16-Dec-20,2,Early closure
17-Dec-20,2,Early closure
19-Dec-20,1,One day
11-Jan-21,1,Early closure
12-Jan-21,1,Early closure
13-Jan-21,1,Early closure
14-Jan-21,1,Early closure
18-Jan-21,1,Early closure
19-Jan-21,1,Early closure
20-Jan-21,1,Early closure
21-Jan-21,1,Early closure
23-Jan-21,1,Weekend
24-Jan-21,1,Weekend
25-Jan-21,1,Early closure
26-Jan-21,1,Early closure
27-Jan-21,1,Early closure
28-Jan-21,1,Early closure
31-Jan-21,1,One day
01-Feb-21,2,Early closure
02-Feb-21,2,Early closure
03-Feb-21,2,Early closure
04-Feb-21,2,Early closure
06-Feb-21,1,Weekend
07-Feb-21,1,Weekend
08-Feb-21,1,Early closure
09-Feb-21,1,Early closure
10-Feb-21,1,Early closure
11-Feb-21,1,Early closure
14-Feb-21,2,Late opening
16-Feb-21,1,Early closure
17-Feb-21,1,Early closure
18-Feb-21,1,Early closure
22-Feb-21,1,Early closure
23-Feb-21,1,Early closure
24-Feb-21,1,Early closure
25-Feb-21,1,Early closure
27-Feb-21,1,Weekend
28-Feb-21,1,Weekend
01-Mar-21,1,Early closure
02-Mar-21,1,Early closure
03-Mar-21,1,Early closure
04-Mar-21,1,Early closure
05-Mar-21,1,Early closure
06-Mar-21,1,Weekend
07-May-21,1,Weekend
08-Mar-21,1,Early closure
09-Mar-21,1,Early closure
10-Mar-21,1,Early closure
11-Mar-21,1,Early closure
13-Mar-21,1,Weekend
14-Mar-21,1,Weekend
15-Mar-21,1,Other
16-Mar-21,1,Other
17-Mar-21,1,Other
